title,link,pub_date,content
China canceling Lunar New Year festivities is a massive deal - CNN,https://news.google.com/rss/articles/CBMie0FVX3lxTE9KOURsVEc2aUhkcTNRV0RlQnZ6cU5tSWxTT2FoVUEzbktCOGNfQXBGX29ZTmtxZ0tud1RfYk1wT3ZtY01jc2lhWkNOWmFJMWNiM2xmamY1ZUhZR0VMTmZ2aUE4bjBlNUJXVkFoMkMxUFpNRW43aEtYd3ZhMA?oc=5,"Fri, 24 Jan 2020 08:00:00 GMT",[No article text found]
Fashion’s Chinese New Year quandary: Can rats ever be luxury? - CNN,https://news.google.com/rss/articles/CBMiekFVX3lxTE5YUUxDZnNOWEtwN2NqbXdXalJ2LVAwZWxOVUNuNmtjMzk3cTFhei1HNmV2SFVCUUFuQVUzQ1pVem15MmFNbWhsbGhvN0d2WDhPbkFWTUhWbG5FbnNHNFd1YlJ1UG1uRkl0c3BNbEx3dlA1WjgtTTNndkVR?oc=5,"Thu, 23 Jan 2020 08:00:00 GMT",[No article text found]
"Lunar New Year candy boxes, decoded - CNN",https://news.google.com/rss/articles/CBMia0FVX3lxTFA0TVBMdmVva1N5aF8xeEF5U0t4MjZVUUxZYWJwSTVnTHRFMFlsMFJGRDR2Wmt4NFM5NElIb2JfZ0E5TjdHMDdvNHJVbjJTa1lNYnU5X3pidHBJRHlpdkhRMWhsY18xM3kyQlBJ?oc=5,"Sun, 19 Dec 2021 13:39:13 GMT",[No article text found]
Wuhan coronavirus virus spreads as China scraps New Year celebrations - CNN,https://news.google.com/rss/articles/CBMiekFVX3lxTE03UTBxWkpybGI3OTJ0V2hiX2d1N09JRHNWenUxVHhGZEdPVWo1ZVExMjVQVmNLMmc0ZU9BZ0U1ekVoVURnNGN4ZG5vZzJ5ZlZXQjNJX3Bldzg5eU1VUFZfczBWVEhRZms5cVh2TkJHbkR3VDhKc3hTdVB3?oc=5,"Thu, 23 Jan 2020 08:00:00 GMT",[No article text found]
China is trying to stop the spread of a deadly new virus at the worst possible time of year - CNN,https://news.google.com/rss/articles/CBMijgFBVV95cUxQSFJ6enZOcm9fT25Yd0JUTW5VQndWN3ZZOXZlRlFaSjROTndSaXpBRDBadm4xZk1KZFhKa3V2VXJJcWt5QnhHTy03eDE2eW9JR3JmdHU2dEwwMGR1MXh6Q19jY0VxTDlieVhlTHR0cWUwS1A0QWgxa0Z5cV95ekNnOWZhOGpzTUczQndEcDl3?oc=5,"Tue, 21 Jan 2020 08:00:00 GMT",[No article text found]
This was supposed to be a billion-dollar week for China’s box office. Then the coronavirus hit - CNN,https://news.google.com/rss/articles/CBMid0FVX3lxTE1sMXVEZUNUNmpqSlJ1X1dhcVE5ZXVNcldZRGZIcDE0ZFFuU1RsVnFQTTFtYWpwOXFuUkhhdkZ0cEFsOXc3ZnMtX3MxcnJnS3hDZUpzblJ4SnJZeE9UM1ZuZFJjaUMyeXRvTkVNZy0xOHZUUEJDRXdv?oc=5,"Wed, 29 Jan 2020 08:00:00 GMT",[No article text found]
Year of the Rat: See what’s in store for 2020 - CNN,https://news.google.com/rss/articles/CBMifkFVX3lxTE85WHFHUzhJS1c1OVZybENpMUtRdnhndmNtWC1qQVh6anFZNmtDaWdFbWhmaF9JYmw4bmJwdEN5WjJlYUI1ckVmaEFSa3VTdG1TUkZmczB6elFwemdqc0l5cVMxbG1RUkFxcU9Cd1FtOXNxOE1sNW8wd2RLWGh0QQ?oc=5,"Mon, 27 Jan 2020 08:00:00 GMT",[No article text found]
The global car industry is bracing for a huge shock from China - CNN,https://news.google.com/rss/articles/CBMiekFVX3lxTE1LWkh1eGNfellQNnMySE04a3dXVDNPNkM2ejYwR2Z0OWowNFhwVUR0QzlHSGROY2RkZUk2NmN0Q0RqbFZFeThyT2xRWXZSelJVX0RnQUl6ZWd0NTlETWZRSEVBRVNtNVdkdkZTM1RTQ2VZaEF1VjMyN0p3?oc=5,"Thu, 06 Feb 2020 08:00:00 GMT",[No article text found]
CNN 10 - CNN,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9xQnB3SW14QVd3Z3JFRnp2MkUwTksyelNHTzdrenlPbnVJM1c1ZWZDWDZzRDQ3UDYtaUt6RTlRX0FDdTN6aFUtbGtvWERrWEdhM3ptdW1FZVZNTnJSU0Zn?oc=5,"Thu, 23 Jan 2020 08:00:00 GMT",[No article text found]
"Outcasts in their own country, the people of Wuhan are the unwanted faces of China’s coronavirus outbreak - CNN",https://news.google.com/rss/articles/CBMigwFBVV95cUxNc2JSYlp5Q3NBb2dyVk8tdzJMSFZoN3hodWNZTWZWM3p5LWFuSTVVR2duZHVTZGxzaUhZRUxZalFLSFhEVDRBU1RYNHhQT2hVVEphM1JQMGR4bGNRdjVvcGh1emJZM19mLU1UVjBhcVA5X1pzbzY0UXBUX1U4MDhxYks4aw?oc=5,"Sun, 02 Feb 2020 08:00:00 GMT",[No article text found]
