post_id: M.1615940364.A.006
date: 2021-03-17
title: Re: [閒聊] 老公老婆辛勞看法
content:
作者dodoru (jomi)看板marriage標題Re: [閒聊] 老公老婆辛勞看法時間Wed Mar 17 08:19:22 2021



類似這種討論好像都會出現極端值
譬如有些人做一件事情可以做得特別久特別仔細到不可思議
或是某某某、誰誰誰的朋友什麼都不做老公還不是很疼她
或出現一些全能型神人，又被不少覺得當100分媽媽很累，
彷彿最初的原PO要求到多完美



回歸比較不那麼極端的一般人
我是認為夫妻做事比較像是協作的同事
有工作就會有產值的比較性，也是很自然的
即使不顯性計算，會變成隱性的計算

夫妻若決定一人扛經濟，一人做家管
賺錢的固然不宜拿出老闆姿態
但當彼此是協作的同事，工作份量卻太不均時
很難完全不產生計較介意的心理
工作份量差距到7：3，甚至8:2的話
令人很難用能者多勞來說服自己活該要擔多一點
最差也要到6:4讓人比較不會起計較之心


我認為所謂夫妻不要太計較
是兩人都發揮自己專業度去達到自己的付出
且兩人付出值是比較相等的狀況，有些比較難以量化的部分的確不用太計較

而不是工作份量分配太不均，而要多負擔的人不計較
或是把什麼都賴給難以量化，索性不做或做得極少


原文的狀況我認為先生希望太太做菜尚算合理
是因為以操持過家務的狀況來評估
太太即便加入煮晚餐這項，整體工作量其實還是偏輕鬆的，
但是這樣的輕鬆度是另一半相對應的同事應比較能接受的程度
若是沒有煮飯這項，白天真的是空到沒有什麼主力項目可言
剩餘的雜事其實不需要到半天的工時 (甚至不需要3HR)


若真的很不願意煮飯
那就變成要看能擔下什麼工作補剩下的工作量不足之處
我不覺得家管要很全能或當什麼100分媽媽/老婆
也認為即使有神人分享，也不用去學那種全能型的神人，
因為如果無法全能只會變成樣樣碰樣樣鬆都做不好，
還不如專精其中一些部分

我也有碰過比較擅長教學的媽媽，
不煮飯但白天備教材晚上教小孩，她能教的領域還真的蠻多的
這也是一種增加其他工作的方式

選擇家管這份工作
不代表要做到100分才可以
但也不代表工作份量、工作品質完全都不能被拿出來衡量評估以及調整
只因為家管的付出就是不可計算不可量化 的奇怪觀念
變得要非常隱晦


而且既然是單薪家庭
我相信賺錢那方應該不至於是只賺兩三萬，
然後只丟一萬多給家裡
(如果是這樣  那我就覺得太太不再增加其他工作量合理)

所以以目前原文太太那麼少量的工作量來說，
的確是有調整的必要性的






--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.137.160.79 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/marriage/M.1615940364.A.006.html
推 icevenus    : 推～最原文的研究育兒素材也是很不錯的方向 03/17 08:23
推 mtyc        : 婚姻本來就是要兩人協調，討論出平衡點，不會是一 03/17 08:30
→ mtyc        : 個人要怎樣就怎樣。 03/17 08:30
推 ror         : 悲傷的是，仇恨的言論總是比較多人買單 03/17 08:35
推 candyrainbow: 推 03/17 08:37
→ nanalia     : 要去說服太太開心煮飯 投桃報李 不是用逼的 老婆煮 03/17 08:40
→ nanalia     : 的心不甘情不願 日子也不會好過 03/17 08:40
推 mtyc        : 先生也沒逼吧，上來問也是客客氣氣 03/17 08:43
→ nanalia     : 原文太太覺得夠忙不想煮飯呦～ 03/17 08:50
→ yaokut      : 是不是逼，其實要看兩個人的溝通模式跟認知差異~ 03/17 08:51
推 ytwu        : 非常認同！ 03/17 08:52
→ nanalia     : 要怎麼讓太太開心煮飯 才是原po要考慮的 03/17 08:54
推 ror         : 笑死XD討論分工就變成逼，那以後大家都不要做了 03/17 08:54
→ yaokut      : 怎樣讓太太想做，才是重點~ 想做，通常都會有誘因， 03/17 08:55
→ nanalia     : 有商有量才是討論啊 而不是我希望你要這樣 不這樣就 03/17 08:55
→ nanalia     : 是懶惰主婦 那有算討論嗎？ 03/17 08:56
推 ytwu        : 那太太要不要想怎麼讓先生開心工作？不用，因為先 03/17 08:56
→ yaokut      : 誘因得出來，難吃得要命，誇上天，也是一種 XD 03/17 08:56
→ ytwu        : 生自覺那是他的責任，再不開心也要去上班，否則家 03/17 08:56
→ ytwu        : 裡就要喝西北風了 03/17 08:56
推 ror         : Y大我正要打，先生也不要去上班了，要有誘因阿XD 03/17 08:57
→ nanalia     : 不開心就不要去 換個喜歡的工作 工作不開心回來臭臉 03/17 08:57
→ nanalia     : 全家也不好過呀 03/17 08:57
推 xulu0       : 如果先生工作不開心有跟太太反應，太太未必不會想辦 03/17 08:58
→ xulu0       : 法協助老公的情緒吧？ 03/17 08:58
