id,platform,date,title,like_count,comment_count,reach,keywords
M.1709881715.A.99F,ptt,2024-03-08,[難過] 買房錯了嗎,165,548,N/A,"回娘家,婆媳關係"
M.1709865488.A.D23,ptt,2024-03-08,[新聞] 「掛號費無上限」民眾罵翻 五大醫界團體,82,342,N/A,過勞
M.1709811425.A.317,ptt,2024-03-07,[閒聊] 為啥要設最低工資？回歸市場機制就好了,18,104,N/A,過勞
M.1708869341.A.A9C,ptt,2024-02-25,[閒聊] 女孩兒吵架會找爸爸媽媽助陣嗎？,2,10,N/A,回娘家
M.1708115904.A.E86,ptt,2024-02-17,Re: [閒聊] 老大的吃醋嫉妒要幾歲才能釋懷？,3,4,N/A,回娘家
M.1708050395.A.211,ptt,2024-02-16,Re: [閒聊] 老大的吃醋嫉妒要幾歲才能釋懷？,17,65,N/A,回娘家
M.1708064980.A.364,ptt,2024-02-16,Re: [閒聊] 老大的吃醋嫉妒要幾歲才能釋懷？,4,22,N/A,回娘家
M.1707793989.A.754,ptt,2024-02-13,Re: [問題] 太太的弟弟（求解）,4,7,N/A,回娘家
M.1707737076.A.3D6,ptt,2024-02-12,[閒聊]女孩遇到很會裝死的親戚會有什麼反應嗎？,25,66,N/A,回娘家
M.1707694075.A.5BC,ptt,2024-02-12,[問題] 太太的弟弟（求解）,13,66,N/A,回娘家
M.1707709871.A.544,ptt,2024-02-12,Re: [問題] 太太的弟弟（求解）,5,30,N/A,回娘家
M.1707572911.A.A7A,ptt,2024-02-10,Re: [討論] 公務員真的慘輸民間企業嗎？,15,69,N/A,過勞
M.1707470322.A.D9C,ptt,2024-02-09,Re: [閒聊] 真的有人喜歡過年嗎？,2,3,N/A,回娘家
M.1707447543.A.7D1,ptt,2024-02-09,[討論] 父權社會下男性焦慮 女權運動的焦點錯誤,17,52,N/A,婆媳關係
M.1707385514.A.297,ptt,2024-02-08,[閒聊] 過年會出門玩嗎？,2,5,N/A,回娘家
M.1707308872.A.8ED,ptt,2024-02-07,[心情] 因為潔癖所以過年不想回鄉下老家住,68,190,N/A,回娘家
M.1707196484.A.2B1,ptt,2024-02-06,快過年了 大齡40未婚單身的準備好了嗎,15,32,N/A,回娘家
M.1707109358.A.270,ptt,2024-02-05,Re: [閒聊] 為什麼以前單薪都能養家？,4,32,N/A,回娘家
M.1706817025.A.B95,ptt,2024-02-02,[討論] 嫁人後，當父母老了...,6,42,N/A,回娘家
M.1706765742.A.D1C,ptt,2024-02-01,[討論] 台灣女生要怎樣才願意生小孩呢?,85,491,N/A,煮年夜飯
M.1706767167.A.A47,ptt,2024-02-01,Re: [討論] 台灣女生要怎樣才願意生小孩呢?,15,131,N/A,回娘家
M.1706664779.A.0D8,ptt,2024-01-31,Re: [閒聊] 結婚了的女生今年在哪圍爐呢？,11,28,N/A,回娘家
M.1706609424.A.6D3,ptt,2024-01-30,[討論] 回娘家過夜 你們都是哪一派的?,26,81,N/A,回娘家
M.1706618286.A.7F2,ptt,2024-01-30,[閒聊] 結婚了的女生今年在哪圍爐呢？,36,70,N/A,回娘家
M.1706047977.A.626,ptt,2024-01-24,[閒聊] 大家過年在哪過呀,12,31,N/A,回娘家
M.1705897769.A.025,ptt,2024-01-22,[閒聊] 雍正王朝的唐國強算帥嗎？,5,12,N/A,過勞
M.1705631636.A.8F8,ptt,2024-01-19,[問題] 大家覺得公務員好嗎,38,142,N/A,過勞
M.1646210794.A.A28,ptt,2022-03-02,[討論] 結婚後會想當家庭主婦嗎？,71,300,N/A,回娘家
M.1646147247.A.5D0,ptt,2022-03-01,Re: [問題] 40幾年前讀成大電機很厲害嗎,1,6,N/A,過勞
M.1646148794.A.25E,ptt,2022-03-01,[問題] 為什麼很多婆婆看媳婦不順眼,139,329,N/A,"回娘家,婆媳關係"
M.1646111591.A.620,ptt,2022-03-01,[閒聊] 吃過「吐司炸冰淇淋」的人多嗎？,51,70,N/A,回娘家
M.1645757425.A.DCC,ptt,2022-02-25,Re: [討論] 蔡壁如：還在期待美國老大哥？,253,901,N/A,過勞
M.1645629332.A.B88,ptt,2022-02-23,[閒聊] 有遇過別人叫你感恩嗎？,15,45,N/A,過勞
M.1645661011.A.30F,ptt,2022-02-24,Re: [閒聊] 女生會接受結婚對象是外送員嗎,3,14,N/A,回娘家
M.1645460434.A.D31,ptt,2022-02-22,[閒聊] 真的有人工作像日本社畜這麼誇張嗎？,38,86,N/A,過勞
M.1645359756.A.377,ptt,2022-02-20,[心情] 現在10度下雨，該阻止家人叫外送嗎？！,114,499,N/A,過勞
M.1645175418.A.754,ptt,2022-02-18,[公告] ～（＠ｏ＠）～章魚燒水桶,10,17,N/A,回娘家
M.1644678139.A.20B,ptt,2022-02-12,[討論] 你不用認識我爸媽 我也不想認識你爸媽?,9,24,N/A,回娘家
M.1644658722.A.E3B,ptt,2022-02-12,Re: [心情]情人節還AA制，難道不覺得尷尬嗎？,5,5,N/A,回娘家
M.1644643644.A.B2E,ptt,2022-02-12,[新聞] 外公外婆涉「性別歧視」？教育部線上國,140,500,N/A,回娘家
M.1644482787.A.85F,ptt,2022-02-10,[閒聊] 現在猝死變得很常見嗎？,23,70,N/A,過勞
M.1644120837.A.ABC,ptt,2022-02-06,Re: [問題] 女生找對象都希望另外一半薪水比較高？,14,99,N/A,"回娘家,過勞"
M.1644015618.A.0F9,ptt,2022-02-05,[問題] 女生找對象都希望另外一半薪水比較高？,32,133,N/A,過勞
M.1644020995.A.97B,ptt,2022-02-05,[閒聊] 發紅包給孫子,55,187,N/A,"回娘家,過勞"
M.1643983354.A.D0A,ptt,2022-02-04,Re: [閒聊] 娶越南的cp值好像很高,42,124,N/A,回娘家
M.1643963299.A.563,ptt,2022-02-04,[閒聊] 幫mandy740512代po,40,57,N/A,過勞
M.1643959368.A.60E,ptt,2022-02-04,[閒聊] 中年失業又失婚的女生都在幹嘛？,4,17,N/A,回娘家
M.1643787576.A.1E7,ptt,2022-02-02,[心情] 過年確診Covid！,174,457,N/A,過勞
M.1643791102.A.969,ptt,2022-02-02,[難過] 沒有小朋友緣,6,13,N/A,回娘家
M.1643767456.A.DB7,ptt,2022-02-02,[閒聊] 初二有人回娘家嗎？,20,34,N/A,回娘家
M.1643781130.A.593,ptt,2022-02-02,Re: [討論] 窮人真的無法翻身嗎?,25,53,N/A,過勞
M.1643727649.A.3BF,ptt,2022-02-01,[閒聊] 陪太太回娘家的老公484會開啟npc模式,5,18,N/A,回娘家
M.1643640463.A.F29,ptt,2022-01-31,[閒聊] 其實現在長輩早就沒要求女生會煮飯了,82,352,N/A,"回娘家,煮年夜飯"
M.1643616010.A.1A1,ptt,2022-01-31,[討論] 過年有什麼習俗該廢掉？,14,37,N/A,回娘家
M.1643462149.A.73B,ptt,2022-01-29,[討論] 為什麼女孩比較少媽寶,103,314,N/A,回娘家
M.1643436992.A.913,ptt,2022-01-29,[新聞] 過年期間打掃易帶走財運？禁除夕夜熄燈,0,2,N/A,回娘家
M.1643029195.A.C21,ptt,2022-01-24,[閒聊] 罵人死媽寶還家暴然後裝老公失蹤是演哪,73,184,N/A,回娘家
M.1642983731.A.D8B,ptt,2022-01-24,[閒聊] 有人取消過年辦桌和回娘家吃飯等活動嗎？,96,158,N/A,回娘家
M.1642866266.A.719,ptt,2022-01-22,[討論] 負債5千萬，但是一輩子健康，願意嗎？,19,37,N/A,過勞
M.1642257390.A.5F7,ptt,2022-01-15,Re: [討論] 為什麼PTT這麼支持柯文哲？！,5,7,N/A,過勞
M.1642244041.A.D58,ptt,2022-01-15,[閒聊] 大家跟兄弟姐妹感情好嗎,76,114,N/A,回娘家
M.1641783826.A.FFB,ptt,2022-01-10,[閒聊] 還有人家裡自己煮年夜飯嗎,10,27,N/A,煮年夜飯
M.1641649438.A.DDB,ptt,2022-01-08,[心情] 崩壞 序曲,3,5,N/A,過勞
M.1641631335.A.1A1,ptt,2022-01-08,Re: [閒聊] 愛上黑咖啡 不小心減了肥XDD,8,18,N/A,過勞
M.1641302528.A.0E8,ptt,2022-01-04,[閒聊] 已婚女孩今年要在哪裡圍爐？,25,49,N/A,回娘家
M.1641180401.A.380,ptt,2022-01-03,[討論] 過年實用派的禮盒？,19,34,N/A,回娘家
