id,platform,date,title,like_count,comment_count,reach,keywords
M.1616358868.A.7FE,ptt,2021-03-22,[公告] Marriage板規(20210322),25,40,N/A,"女,媳婦"
M.1734976302.A.B05,ptt,2024-12-24,Re: [求助] 婆婆對媳婦敵意很重 重到丈夫爆氣吵架,65,257,N/A,"回娘家,婆媳,女,媳婦"
M.1734990882.A.956,ptt,2024-12-24,Re: [求助] 婆婆對媳婦敵意很重 重到丈夫爆氣吵架,8,40,N/A,"回娘家,婆媳,女,媳婦"
M.1734997907.A.E3F,ptt,2024-12-24,Re: [求助] 婆婆對媳婦敵意很重 重到丈夫爆氣吵架,19,45,N/A,"回娘家,婆媳,女,媳婦"
M.1735028604.A.624,ptt,2024-12-24,Re: [求助] 做得不好還是做得不夠？,2,4,N/A,"女,媳婦"
M.1735200764.A.ACC,ptt,2024-12-26,[心情] 我母親說沒我娶別人很可惜，這是什麼心態,84,244,N/A,"婆媳,女,媳婦"
M.1735280451.A.6E7,ptt,2024-12-27,Re: [心情] 我母親說沒我娶別人很可惜，這是什麼心態,4,3,N/A,女
M.1735472960.A.704,ptt,2024-12-29,[求助] 跟婆婆鬧翻，吵到快離婚,33,412,N/A,"女,媳婦"
M.1735476184.A.AC2,ptt,2024-12-29,Re: [求助] 跟婆婆鬧翻，吵到快離婚,58,69,N/A,"女,媳婦"
M.1735501913.A.5D9,ptt,2024-12-30,Re: [求助] 跟婆婆鬧翻，吵到快離婚,5,74,N/A,"女,媳婦"
M.1735520692.A.C67,ptt,2024-12-30,Re: [求助] 跟婆婆鬧翻，吵到快離婚,6,14,N/A,媳婦
M.1735524417.A.E49,ptt,2024-12-30,Re: [求助] 跟婆婆鬧翻，吵到快離婚,5,15,N/A,"女,媳婦"
M.1735545331.A.1E9,ptt,2024-12-30,[求助] 如何讓小王更慘？,90,235,N/A,女
M.1735592024.A.1A0,ptt,2024-12-31,Re: [求助] 跟婆婆鬧翻，吵到快離婚,26,87,N/A,"女,媳婦"
M.1735626646.A.7CA,ptt,2024-12-31,Re: [求助] 跟婆婆鬧翻，吵到快離婚,131,717,N/A,"婆媳,性別,女,媳婦"
M.1735628132.A.E5E,ptt,2024-12-31,Re: [求助] 跟婆婆鬧翻，吵到快離婚,22,130,N/A,女
M.1735632668.A.267,ptt,2024-12-31,Re: [求助] 跟婆婆鬧翻，吵到快離婚,16,15,N/A,女
M.1734690290.A.DA2,ptt,2024-12-20,Re: [求助] 做得不好還是做得不夠？,0,0,N/A,"女,媳婦"
M.1734695666.A.99F,ptt,2024-12-20,Re: [求助] 做得不好還是做得不夠？,88,92,N/A,女
M.1734699717.A.D0E,ptt,2024-12-20,Re: [求助] 做得不好還是做得不夠？,5,11,N/A,"女,媳婦"
M.1734707778.A.693,ptt,2024-12-20,Re: [求助] 做得不好還是做得不夠？,3,9,N/A,女
M.1734713002.A.9EB,ptt,2024-12-21,Re: [求助] 做得不好還是做得不夠？,64,248,N/A,"年夜飯,女,媳婦"
M.1734715813.A.7B3,ptt,2024-12-21,Re: [求助] 做得不好還是做得不夠？,22,31,N/A,女
M.1734772650.A.1CF,ptt,2024-12-21,Re: [求助] 做得不好還是做得不夠？,1,2,N/A,女
M.1734802755.A.ACF,ptt,2024-12-22,Re: [求助] 做得不好還是做得不夠？,8,8,N/A,"女,媳婦"
M.1734832573.A.A3B,ptt,2024-12-22,Re: [求助] 做得不好還是做得不夠？,2,3,N/A,女
M.1734833139.A.DE4,ptt,2024-12-22,Re: [求助] 做得不好還是做得不夠？,43,76,N/A,女
M.1734837727.A.C6E,ptt,2024-12-22,Re: [求助] 做得不好還是做得不夠？,8,64,N/A,"女,媳婦"
M.1734842622.A.E3C,ptt,2024-12-22,Re: [求助] 對於小孩幼稚園的教育理念有分歧,18,97,N/A,女
M.1734855429.A.A7A,ptt,2024-12-22,Re: [求助] 做得不好還是做得不夠？,7,121,N/A,女
M.1734895878.A.1EF,ptt,2024-12-23,Re: [求助] 做得不好還是做得不夠？,8,26,N/A,"女,媳婦"
M.1734918753.A.2DC,ptt,2024-12-23,Re: [求助] 做得不好還是做得不夠？,27,127,N/A,"女,媳婦"
